prompt,ref_model,target_model,ref_bytes,target_bytes,n_prompt,n_gen,kl_target,kl_target_p95,kl_target_p99,top1_target,kl_handoff,kl_handoff_p95,kl_handoff_p99,top1_handoff
03_go_bug,gemma4-31b-ud-q8_k_xl,ud-q5_k_xl,35020034016,21890422752,396,2048,0.002036,0.010891,0.038131,99.0,0.001707,0.007656,0.034572,99.0
04_cpp_explain,gemma4-31b-ud-q8_k_xl,ud-q5_k_xl,35020034016,21890422752,837,1590,0.002266,0.012459,0.036574,99.0,0.001853,0.008723,0.031020,99.1
05_js_bug,gemma4-31b-ud-q8_k_xl,ud-q5_k_xl,35020034016,21890422752,556,2048,0.002231,0.011298,0.032919,98.7,0.001987,0.008945,0.030129,99.0
06_python_explain,gemma4-31b-ud-q8_k_xl,ud-q5_k_xl,35020034016,21890422752,582,1546,0.001915,0.008804,0.028903,98.8,0.001495,0.007265,0.029110,99.0
07_c_bug,gemma4-31b-ud-q8_k_xl,ud-q5_k_xl,35020034016,21890422752,751,2048,0.002463,0.012667,0.040396,99.0,0.001863,0.009019,0.035050,99.2
08_java_explain,gemma4-31b-ud-q8_k_xl,ud-q5_k_xl,35020034016,21890422752,840,1519,0.002560,0.010632,0.048621,99.3,0.002169,0.008515,0.044625,99.2
09_python_large,gemma4-31b-ud-q8_k_xl,ud-q5_k_xl,35020034016,21890422752,2484,2048,0.003578,0.017119,0.052203,98.9,0.002936,0.013903,0.044515,98.9
10_go_large,gemma4-31b-ud-q8_k_xl,ud-q5_k_xl,35020034016,21890422752,2138,2048,0.002705,0.012742,0.042065,98.4,0.002199,0.010088,0.037625,98.5
11_typescript_large,gemma4-31b-ud-q8_k_xl,ud-q5_k_xl,35020034016,21890422752,2455,2048,0.004575,0.023469,0.053892,98.2,0.003235,0.016250,0.047151,98.6
12_rust_large,gemma4-31b-ud-q8_k_xl,ud-q5_k_xl,35020034016,21890422752,2197,2048,0.003219,0.013498,0.057967,98.3,0.002444,0.010058,0.043510,98.9
13_python_xlarge,gemma4-31b-ud-q8_k_xl,ud-q5_k_xl,35020034016,21890422752,9014,2048,0.004000,0.015821,0.057053,98.6,0.002860,0.011480,0.036252,99.1
14_go_xlarge,gemma4-31b-ud-q8_k_xl,ud-q5_k_xl,35020034016,21890422752,8912,2048,0.002499,0.013487,0.029866,98.4,0.001662,0.008824,0.019645,98.7
01_python_bug,gemma4-31b-ud-q8_k_xl,ud-q6_k_xl,35020034016,27521331168,337,1663,0.000479,0.002581,0.007048,99.7,0.000435,0.002273,0.007416,99.7
02_rust_explain,gemma4-31b-ud-q8_k_xl,ud-q6_k_xl,35020034016,27521331168,539,1593,0.000500,0.002680,0.007733,99.4,0.000425,0.002084,0.007044,99.6
03_go_bug,gemma4-31b-ud-q8_k_xl,ud-q6_k_xl,35020034016,27521331168,396,2048,0.000464,0.002314,0.008137,99.6,0.000421,0.002010,0.007339,99.7
04_cpp_explain,gemma4-31b-ud-q8_k_xl,ud-q6_k_xl,35020034016,27521331168,837,1590,0.000673,0.003245,0.010459,99.6,0.000578,0.002266,0.009005,99.6
05_js_bug,gemma4-31b-ud-q8_k_xl,ud-q6_k_xl,35020034016,27521331168,556,2048,0.000754,0.003448,0.011560,99.0,0.000540,0.002210,0.007771,99.3
06_python_explain,gemma4-31b-ud-q8_k_xl,ud-q6_k_xl,35020034016,27521331168,582,1546,0.000589,0.002921,0.012425,99.5,0.000471,0.002350,0.008481,99.4
07_c_bug,gemma4-31b-ud-q8_k_xl,ud-q6_k_xl,35020034016,27521331168,751,2048,0.000460,0.002693,0.006999,99.5,0.000478,0.002099,0.005777,99.6
08_java_explain,gemma4-31b-ud-q8_k_xl,ud-q6_k_xl,35020034016,27521331168,840,1519,0.000606,0.002530,0.012608,99.5,0.000513,0.002050,0.008980,99.5
09_python_large,gemma4-31b-ud-q8_k_xl,ud-q6_k_xl,35020034016,27521331168,2484,2048,0.000897,0.004551,0.012112,99.3,0.000657,0.003435,0.008144,99.3
10_go_large,gemma4-31b-ud-q8_k_xl,ud-q6_k_xl,35020034016,27521331168,2138,2048,0.000621,0.003245,0.011213,99.3,0.000491,0.002460,0.007696,99.3
11_typescript_large,gemma4-31b-ud-q8_k_xl,ud-q6_k_xl,35020034016,27521331168,2455,2048,0.001269,0.006223,0.017152,99.0,0.000908,0.003912,0.013502,99.1
12_rust_large,gemma4-31b-ud-q8_k_xl,ud-q6_k_xl,35020034016,27521331168,2197,2048,0.000985,0.004867,0.013014,99.6,0.000706,0.002846,0.010718,99.6
13_python_xlarge,gemma4-31b-ud-q8_k_xl,ud-q6_k_xl,35020034016,27521331168,9014,2048,0.001042,0.004354,0.012715,99.0,0.000678,0.002729,0.010591,99.5
14_go_xlarge,gemma4-31b-ud-q8_k_xl,ud-q6_k_xl,35020034016,27521331168,8912,2048,0.000799,0.003919,0.010980,99.0,0.000575,0.002815,0.006726,99.5
